school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested
Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,383,355,352,71.0
Community Health Academy of the Heights,Manhattan,M814,387,389,385,55.3
Washington Heights Expeditionary Learning School,Manhattan,M143,443,423,434,87.0
Coalition School for Social Change,Manhattan,M045,344,368,367,40.5
Repertory Company High School for Theatre Arts,Manhattan,M896,425,451,458,89.5
Professional Performing Arts High School,Manhattan,M017,496,520,516,72.2
Jacqueline Kennedy Onassis High School,Manhattan,M486,418,422,415,
Murry Bergtraum High School for Business Careers,Manhattan,M520,418,415,398,44.3
Frederick Douglass Academy,Manhattan,M010,463,452,450,65.1
High School for Media and Communications,Manhattan,M465,378,381,383,33.0
College Academy,Manhattan,M465,367,377,363,41.9
High School for Law and Public Service,Manhattan,M465,401,394,381,44.1
City College Academy of the Arts,Manhattan,M218,495,445,450,95.3
High School for Health Careers and Sciences,Manhattan,M465,374,385,389,56.2
Manhattan International High School,Manhattan,M480,438,358,382,58.6
Talent Unlimited High School,Manhattan,M480,485,498,496,89.3
Vanguard High School,Manhattan,M480,431,409,396,63.8
Life Sciences Secondary School,Manhattan,M645,435,440,425,63.0
Stuyvesant High School,Manhattan,M477,754,697,693,97.4
Ralph R. McKee Career and Technical Education High School,Staten Island,R600,420,429,409,38.0
Michael J. Petrides School,Staten Island,R880,483,473,470,79.2
Curtis High School,Staten Island,R450,453,458,444,64.2
Port Richmond High School,Staten Island,R445,432,427,425,44.6
Staten Island Technical High School,Staten Island,R440,711,660,670,99.7
New Dorp High School,Staten Island,R435,454,446,444,63.7
Tottenville High School,Staten Island,R455,494,476,476,
Susan E. Wagner High School,Staten Island,R460,496,490,487,66.3
Gaynor McCown Expeditionary Learning School,Staten Island,R043,442,458,454,55.8
CSI High School for International Studies,Staten Island,R043,477,468,464,83.5
New Explorers High School,Bronx,X790,390,398,376,30.4
"Bronx School for Law, Government, and Justice",Bronx,X460,403,409,415,63.8
Urban Assembly School for Careers in Sports,Bronx,X790,402,405,395,55.5
Bronx Leadership Academy II High School,Bronx,X790,384,355,361,61.3
Urban Assembly Bronx Academy of Letters,Bronx,X183,398,400,405,57.8
Health Opportunities High School,Bronx,X884,374,386,382,57.9
Community School for Social Justice,Bronx,X884,380,382,362,38.4
Alfred E. Smith Career and Technical Education High School,Bronx,X600,390,373,371,29.8
Academy for Language and Technology,Bronx,X082,371,334,348,78.9
South Bronx Preparatory (College Board),Bronx,X149,419,414,394,76.9
International Community High School,Bronx,X139,345,338,312,58.2
Hostos-Lincoln Academy of Science,Bronx,X162,463,451,435,80.0
University Heights Secondary School,Bronx,X470,420,446,424,87.8
Mott Haven Village Preparatory High School,Bronx,X470,377,373,369,44.9
High School for Violin and Dance,Bronx,X400,363,401,396,31.3
Bronx International High School,Bronx,X400,355,330,320,
Bronx Career and College Preparatory High School,Bronx,X158,370,379,381,40.7
Bronx Center for Science and Mathematics,Bronx,X002,513,468,485,73.9
Bronx Early College Academy for Teaching and Learning,Bronx,X166,424,413,409,93.3
Eximius College Preparatory Academy (College Board),Bronx,X002,400,391,397,78.2
Bronx Latin,Bronx,X158,394,381,363,81.0
School for Excellence,Bronx,X400,377,385,383,38.4
Morris Academy for Collaborative Studies,Bronx,X400,407,389,386,44.8
Frederick Douglass Academy III Secondary School,Bronx,X148,387,386,386,50.5
Urban Assembly School for Applied Math and Science,Bronx,X970,445,418,422,87.8
Bronx Collegiate Academy,Bronx,X410,395,401,382,45.5
Mott Hall Bronx High School,Bronx,X970,417,399,398,46.2
Bronx Leadership Academy High School,Bronx,X876,375,372,374,49.1
Validus Preparatory Academy: An Expeditionary Learning School,Bronx,X970,382,375,384,59.2
Bronx High School for Medical Science,Bronx,X410,431,421,426,83.9
Eagle Academy for Young Men,Bronx,X465,398,410,397,65.7
Bronx High School of Business,Bronx,X410,365,360,346,33.3
DreamYard Preparatory School,Bronx,X410,385,385,388,51.1
Theatre Arts Production Company School,Bronx,X137,402,421,410,77.7
West Bronx Academy for the Future,Bronx,X435,404,383,378,
Bronx High School for Law and Community Service,Bronx,X435,401,402,386,64.8
Belmont Preparatory High School,Bronx,X435,413,408,402,55.3
Fordham High School for the Arts,Bronx,X435,398,404,412,56.2
Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,X435,408,417,404,66.7
Fordham Leadership Academy for Business and Technology,Bronx,X435,355,373,368,44.3
Metropolitan High School,Bronx,X099,387,388,386,65.9
Holcombe L. Rucker School of Community Research,Bronx,X039,376,372,369,59.0
Banana Kelly High School,Bronx,X039,378,391,378,25.7
Bronx Studio School for Writers and Artists,Bronx,X392,417,412,403,71.6
Peace and Diversity Academy,Bronx,X099,366,362,365,27.1
East Bronx Academy for the Future,Bronx,X973,418,406,408,41.1
Bronx Envision Academy,Bronx,X098,364,385,366,76.5
Fannie Lou Hamer Freedom High School,Bronx,X878,345,347,339,75.0
Explorations Academy,Bronx,X098,377,372,365,43.0
Urban Assembly School for Wildlife Conservation,Bronx,X067,393,397,379,71.1
Wings Academy,Bronx,X879,379,372,373,49.2
Renaissance High School for Musical Theater and Technology,Bronx,X405,390,411,393,52.3
Herbert H. Lehman High School,Bronx,X405,426,419,407,28.9
Bronx High School for the Visual Arts,Bronx,X839,408,428,404,
In-Tech Academy,Bronx,X368,426,419,404,85.9
Bronx School of Law and Finance,Bronx,X475,384,394,366,48.3
Bronx Engineering and Technology Academy,Bronx,X475,394,406,391,59.6
Bronx Theatre High School,Bronx,X475,382,384,390,66.7
Marble Hill High School for International Studies,Bronx,X475,451,417,423,92.9
"Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,X143,423,420,425,68.6
Riverdale/Kingsbridge Academy,Bronx,X141,496,485,476,69.4
New World High School,Bronx,X362,407,363,358,93.0
Bronxwood Preparatory Academy,Bronx,X362,392,408,392,43.3
Academy for Scholarship and Entrepreneurship (College Board),Bronx,X362,392,408,400,63.4
High School for Contemporary Arts,Bronx,X425,367,381,361,41.0
Bronx Aerospace High School,Bronx,X425,403,410,393,50.5
Bronx Academy of Health Careers,Bronx,X425,386,380,391,59.4
High School of Computers and Technology,Bronx,X425,396,399,377,65.6
Bronx Lab School,Bronx,X425,407,416,401,77.4
Bronx High School for Writing and Communication Arts,Bronx,X425,380,437,425,38.1
High School for Teaching and the Professions,Bronx,X430,372,361,369,46.5
Bronx High School of Science,Bronx,X445,714,660,667,97.0
Kingsbridge International High School,Bronx,X430,366,311,310,
Discovery High School,Bronx,X430,432,396,395,39.9
Celia Cruz Bronx High School of Music,Bronx,X430,417,434,425,75.6
High School of American Studies at Lehman College,Bronx,X905,669,672,672,91.8
DeWitt Clinton High School,Bronx,X440,445,436,433,31.8
International School for Liberal Arts,Bronx,X430,390,387,379,19.2
Astor Collegiate Academy,Bronx,X415,422,417,409,57.9
Pelham Preparatory Academy,Bronx,X415,420,433,425,77.0
High School of Language and Innovation,Bronx,X415,356,340,320,72.7
Collegiate Institute for Math and Science,Bronx,X415,488,461,458,79.8
Bronxdale High School,Bronx,X415,418,432,436,72.5
Pan American International High School at Monroe,Bronx,X420,317,315,292,65.6
Cinema School,Bronx,X423,430,449,448,88.3
Monroe Academy for Visual Arts and Design,Bronx,X420,361,354,351,46.8
Mott Hall V,Bronx,X423,430,422,414,77.5
Metropolitan Soundview High School,Bronx,X420,444,428,422,52.0
High School of World Cultures,Bronx,X420,356,359,347,38.2
Millennium Art Academy,Bronx,X450,396,413,395,39.2
Bronx Guild,Bronx,X450,365,393,357,41.3
"Archimedes Academy for Math, Science, and Technology Applications",Bronx,X174,418,430,403,
Pablo Neruda Academy,Bronx,X450,394,384,383,44.2
Women's Academy of Excellence,Bronx,X174,386,390,389,45.2
Felisa Rincon de Gautier Institute for Law and Public Policy,Bronx,X972,389,408,413,31.3
Antonia Pantoja Preparatory Academy (College Board),Bronx,X450,435,415,423,44.9
Bronx Health Sciences High School,Bronx,X455,407,421,427,87.1
Harry S. Truman High School,Bronx,X455,400,401,391,41.5
Queens Vocational and Technical High School,Queens,Q600,467,436,432,53.4
High School of Applied Communication,Queens,Q735,435,437,441,70.9
Middle College High School at LaGuardia Community College,Queens,Q520,377,389,377,48.7
Academy for Careers in Television and Film,Queens,Q404,444,458,444,95.0
Aviation Career and Technical Education High School,Queens,Q610,511,464,456,78.6
Academy of American Studies,Queens,Q451,495,482,479,84.8
Newcomers High School,Queens,Q450,490,374,381,47.1
Bard High School Early College Queens,Queens,Q735,631,598,610,94.1
International High School at LaGuardia Community College,Queens,Q520,425,367,365,71.7
Information Technology High School,Queens,Q725,443,420,411,58.8
Robert F. Wagner Jr. Secondary School for Arts and Technology,Queens,Q891,478,445,445,71.1
Academy of Finance and Enterprise,Queens,Q735,489,456,459,92.7
Young Women's Leadership School in Astoria,Queens,Q739,483,464,477,
William Cullen Bryant High School,Queens,Q445,466,424,426,56.9
Long Island City High School,Queens,Q452,430,423,412,51.6
Frank Sinatra School of the Arts High School,Queens,Q570,536,543,543,89.5
Baccalaureate School for Global Education,Queens,Q798,633,620,628,98.5
"Science Skills Center High School for Science, Technology, and the Creative Arts",Brooklyn,K805,399,397,386,65.9
Brooklyn International High School,Brooklyn,K805,432,334,333,92.7
School for International Studies,Brooklyn,K293,417,406,394,65.1
Brooklyn School for Global Studies,Brooklyn,K293,393,381,402,61.8
"City Polytechnic High School of Engineering, Architecture, and Technology",Brooklyn,K580,503,477,427,18.5
Urban Assembly Institute of Math and Science for Young Women,Brooklyn,K313,397,415,407,82.4
Urban Assembly School for Law and Justice,Brooklyn,K313,446,443,430,87.6
Cobble Hill School of American Studies,Brooklyn,K804,416,420,402,55.3
George Westinghouse Career and Technical Education High School,Brooklyn,K580,394,422,400,45.3
Urban Assembly High School of Music and Art,Brooklyn,K805,372,372,361,55.1
Cultural Academy for the Arts and Sciences,Brooklyn,K415,382,395,384,57.3
Kurt Hahn Expeditionary Learning School,Brooklyn,K415,378,394,388,72.6
School for Human Rights,Brooklyn,K470,398,411,400,60.8
It Takes a Village Academy,Brooklyn,K415,364,374,361,62.2
High School for Public Service: Heroes of Tomorrow,Brooklyn,K470,468,454,464,
Arts and Media Preparatory Academy,Brooklyn,K232,370,383,374,64.2
School for Democracy and Leadership,Brooklyn,K470,386,385,390,53.5
Urban Assembly School for Criminal Justice,Brooklyn,K223,428,413,417,83.6
Franklin Delano Roosevelt High School,Brooklyn,K505,504,411,407,54.0
"Brooklyn Community High School of Communication, Arts, and Media",Brooklyn,K117,358,386,380,51.7
Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,K265,332,346,350,55.1
Benjamin Banneker Academy,Brooklyn,K914,479,484,472,85.5
Juan Morel Campos Secondary School,Brooklyn,K071,366,356,353,56.3
Brooklyn Latin School,Brooklyn,K049,625,588,591,97.5
Green School: An Academy for Environmental Careers,Brooklyn,K049,384,398,399,41.1
Lyons Community School,Brooklyn,K049,374,376,357,56.3
World Academy for Total Community Health High School,Brooklyn,K435,380,389,384,40.9
FDNY High School for Fire and Life Safety,Brooklyn,K435,365,369,357,47.7
W. H. Maxwell Career and Technical Education High School,Brooklyn,K660,326,333,350,38.5
High School for Civil Rights,Brooklyn,K435,391,373,376,26.4
Performing Arts and Technology High School,Brooklyn,K435,375,393,394,39.8
East New York Family Academy,Brooklyn,K819,464,451,421,66.7
Brooklyn Lab School,Brooklyn,K420,383,376,370,46.8
Multicultural High School,Brooklyn,K420,319,323,284,
"School for Classics: An Academy of Thinkers, Writers, and Performers",Brooklyn,K218,387,391,383,52.8
Transit Tech Career and Technical Education High School,Brooklyn,K615,387,387,384,37.2
Cypress Hills Collegiate Preparatory School,Brooklyn,K420,365,370,362,53.8
Academy for Young Writers,Brooklyn,K422,382,413,391,81.2
Academy of Innovative Technology,Brooklyn,K420,395,376,359,57.4
Fort Hamilton High School,Brooklyn,K490,513,456,451,68.7
Midwood High School,Brooklyn,K405,550,514,516,85.7
PROGRESS High School for Professional Careers,Brooklyn,K450,380,377,384,44.9
"High School for Enterprise, Business, and Technology",Brooklyn,K450,463,446,425,54.5
Brooklyn Preparatory High School,Brooklyn,K650,391,406,391,74.5
El Puente Academy for Peace and Justice,Brooklyn,K778,344,380,379,62.5
School for Legal Studies,Brooklyn,K450,393,390,394,34.8
Williamsburg Preparatory School,Brooklyn,K650,443,440,430,87.8
Williamsburg High School for Architecture and Design,Brooklyn,K650,415,424,407,60.1
Frederick Douglass Academy VII High School,Brooklyn,K175,400,407,394,65.4
Teachers Preparatory High School,Brooklyn,K175,394,399,412,56.6
Pathways in Technology Early College High School,Brooklyn,K625,446,442,410,69.4
Academy for Health Careers,Brooklyn,K625,406,405,396,48.1
Boys and Girls High School,Brooklyn,K455,399,392,394,
High School of Sports Management,Brooklyn,K400,367,374,361,56.2
Brooklyn Studio Secondary School,Brooklyn,K721,458,434,434,67.8
International High School at Lafayette,Brooklyn,K400,424,343,337,84.3
Expeditionary Learning School for Community Leaders,Brooklyn,K400,420,396,396,75.0
New Utrecht High School,Brooklyn,K445,488,422,417,63.2
Life Academy High School for Film and Music,Brooklyn,K400,369,379,378,70.2
Kingsborough Early College School,Brooklyn,K400,474,462,449,65.8
Secondary School for Journalism,Brooklyn,K460,408,435,415,58.8
Millennium Brooklyn High School,Brooklyn,K460,553,551,539,79.6
Park Slope Collegiate,Brooklyn,K460,405,377,395,59.6
Secondary School for Law,Brooklyn,K460,420,424,414,74.7
Bedford Academy High School,Brooklyn,K994,505,464,456,96.2
Brooklyn High School of the Arts,Brooklyn,K655,439,441,436,80.6
Brooklyn Technical High School,Brooklyn,K430,682,608,606,95.5
Brooklyn College Academy,Brooklyn,K917,502,495,493,98.1
High School of Telecommunication Arts and Technology,Brooklyn,K485,475,440,445,81.6
EBC High School for Public Service in Bushwick,Brooklyn,K913,389,374,378,50.0
Brooklyn High School for Law and Technology,Brooklyn,K987,395,401,383,62.7
Brooklyn Academy of Global Finance,Brooklyn,K057,395,382,391,
Bushwick Leaders High School for Academic Excellence,Brooklyn,K865,393,368,382,46.8
Automotive High School,Brooklyn,K610,367,381,328,31.6
Frances Perkins Academy,Brooklyn,K610,399,413,400,46.3
John Dewey High School,Brooklyn,K540,512,418,396,62.7
Rachel Carson High School for Coastal Studies,Brooklyn,K303,436,430,421,68.4
Brooklyn School for Music and Theatre,Brooklyn,K440,382,393,377,72.2
Brooklyn Academy of Science and the Environment,Brooklyn,K440,419,411,416,58.5
Medgar Evers College Preparatory School,Brooklyn,K590,525,500,481,89.0
Clara Barton High School,Brooklyn,K600,408,424,407,55.0
International High School at Prospect Heights,Brooklyn,K440,344,302,300,81.7
High School for Global Citizenship,Brooklyn,K440,377,386,375,61.9
"Science, Technology, and Research Early College High School at Erasmus",Brooklyn,K465,496,491,484,91.5
Academy for College Preparation and Career Exploration (College Board),Brooklyn,K465,386,397,393,57.3
High School for Youth and Community Development at Erasmus,Brooklyn,K465,360,382,359,63.2
High School for Service and Learning at Erasmus,Brooklyn,K465,377,382,356,45.5
Academy of Hospitality and Tourism,Brooklyn,K465,374,385,375,62.0
James Madison High School,Brooklyn,K425,492,450,444,69.0
Edward R. Murrow High School,Brooklyn,K525,500,479,472,75.2
Brooklyn Secondary School for Collaborative Studies,Brooklyn,K142,401,411,404,
Sunset Park High School,Brooklyn,K564,398,380,381,61.6
Brooklyn Collegiate (College Board),Brooklyn,K055,394,395,399,64.4
Gotham Professional Arts Academy,Brooklyn,K040,377,396,386,50.7
Leon M. Goldstein High School for the Sciences,Brooklyn,K535,563,534,543,94.0
Abraham Lincoln High School,Brooklyn,K410,441,422,422,54.9
William E. Grady Career and Technical Education High School,Brooklyn,K620,416,423,387,31.4
Urban Action Academy,Brooklyn,K500,362,396,393,44.9
Brooklyn Generation School,Brooklyn,K515,392,406,403,50.0
High School for Medical Professions,Brooklyn,K500,404,427,424,60.2
High School for Innovation in Advertising and Media,Brooklyn,K500,390,410,397,59.1
Victory Collegiate High School,Brooklyn,K515,386,408,402,72.7
Brooklyn Theatre Arts High School,Brooklyn,K515,379,393,373,69.1
Academy for Conservation and the Environment,Brooklyn,K515,381,397,390,50.8
All City Leadership Secondary School,Brooklyn,K554,467,446,448,85.0
Bushwick School for Social Justice,Brooklyn,K480,365,357,357,50.0
Academy for Environmental Leadership,Brooklyn,K480,365,366,348,71.3
Academy of Urban Planning,Brooklyn,K480,392,374,379,41.9
ACORN Community High School,Brooklyn,K909,379,395,385,61.3
Flushing High School,Queens,Q460,444,407,405,
East-West School of International Studies,Queens,Q237,521,457,451,89.4
Flushing International High School,Queens,Q189,481,323,323,67.7
World Journalism Preparatory (College Board),Queens,Q025,484,491,487,89.2
Bayside High School,Queens,Q405,523,479,485,76.7
Benjamin N. Cardozo High School,Queens,Q415,563,505,510,75.6
Francis Lewis High School,Queens,Q430,562,483,485,80.7
Queens School of Inquiry,Queens,Q168,516,493,486,88.2
Robert F. Kennedy Community High School,Queens,Q707,460,426,423,67.3
John Bowne High School,Queens,Q425,467,422,425,62.1
Townsend Harris High School,Queens,Q515,680,640,661,97.1
High School for Arts and Business,Queens,Q456,413,405,393,76.7
Civic Leadership Academy,Queens,Q744,435,424,418,68.9
Maspeth High School,Queens,Q585,476,471,480,90.0
Pan American International High School,Queens,Q744,340,320,318,31.9
Newtown High School,Queens,Q455,434,401,389,39.1
Forest Hills High School,Queens,Q440,517,485,483,72.8
Queens Metropolitan High School,Queens,Q686,460,448,449,76.4
Grover Cleveland High School,Queens,Q485,452,422,416,38.9
Humanities and Arts Magnet High School,Queens,Q490,384,409,401,
"Mathematics, Science Research, and Technology Magnet High School",Queens,Q490,380,418,388,54.9
Pathways College Preparatory School (College Board),Queens,Q192,405,427,409,72.4
Excelsior Preparatory High School,Queens,Q420,384,407,400,70.1
Preparatory Academy for Writers (College Board),Queens,Q420,398,410,393,69.5
Queens Preparatory Academy,Queens,Q420,423,422,403,83.7
George Washington Carver High School for the Sciences,Queens,Q420,439,428,419,63.5
"High School for Construction Trades, Engineering, and Architecture",Queens,Q650,489,457,451,78.9
John Adams High School,Queens,Q480,418,401,395,38.4
Robert H. Goddard High School of Communication Arts and Technology,Queens,Q202,426,435,424,85.1
Richmond Hill High School,Queens,Q475,413,406,399,37.9
Cambria Heights Academy,Queens,Q799,418,424,411,58.5
"Queens High School of Teaching, Liberal Arts, and the Sciences",Queens,Q566,453,434,439,72.4
Martin Van Buren High School,Queens,Q435,397,396,391,40.0
Queens Gateway to Health Sciences Secondary School,Queens,Q695,524,511,514,92.5
Jamaica Gateway to the Sciences,Queens,Q470,487,460,463,78.6
High School for Community Leadership,Queens,Q470,415,392,386,72.3
Young Women's Leadership School in Queens,Queens,Q680,415,420,433,90.4
Queens Collegiate (College Board),Queens,Q470,455,439,441,74.8
Hillcrest High School,Queens,Q505,448,432,426,
Thomas A. Edison Career and Technical Education High School,Queens,Q620,514,473,470,80.0
Hillside Arts and Letters Academy,Queens,Q470,409,399,404,62.6
York Early College Academy,Queens,Q008,496,481,473,92.9
Queens High School for the Sciences at York College,Queens,Q774,701,621,625,97.9
High School for Law Enforcement and Public Safety,Queens,Q690,410,431,409,56.6
August Martin High School,Queens,Q400,366,372,364,26.3
Frederick Douglass Academy VI High School,Queens,Q465,410,418,407,30.1
Academy of Medical Technology (College Board),Queens,Q465,422,424,415,67.6
"Queens High School for Information, Research, and Technology",Queens,Q465,372,362,352,44.6
Rockaway Park High School for Environmental Sustainability,Queens,Q410,357,381,376,38.5
Channel View School for Research,Queens,Q410,427,430,423,76.6
Rockaway Collegiate High School,Queens,Q410,399,403,405,46.5
Scholars' Academy,Queens,Q180,588,560,568,99.2
